Number of unique subjects: 71644,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://RDVocab.info/ElementsGr2/corporateHistory,2,-,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
[1] http://RDVocab.info/ElementsGr2/dateOfEstablishment,3,-,-,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
[2] http://RDVocab.info/ElementsGr2/dateOfTermination,1,-,-,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[3] http://ndl.go.jp/dcndl/terms/transcription,69956,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34978,0,0,0
[4] http://purl.org/dc/terms/created,19390,-,-,-,-,-,0,19390,18319,0,19390,39,18338,12852,5337,6113,1546,19390,4618,6134,10643,19020,16043,0,19390,0,3
[5] http://purl.org/dc/terms/description,9675,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9675,0,0,0
[6] http://purl.org/dc/terms/modified,19390,-,-,-,-,-,-,-,18319,0,19390,39,18338,12852,5337,6113,1546,19390,4618,6134,10643,19020,16043,0,19390,0,3
[7] http://purl.org/dc/terms/source,30131,-,-,-,-,-,-,-,-,0,18319,32,17590,12433,5198,5969,1491,18319,4550,5166,10544,18140,15373,0,18319,0,3
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
[9] http://www.w3.org/2000/01/rdf-schema#label,19390,-,-,-,-,-,-,-,-,-,-,39,18338,12852,5337,6113,1546,19390,4618,6134,10643,19020,16043,0,19390,0,3
[10] http://www.w3.org/2000/01/rdf-schema#seeAlso,80,-,-,-,-,-,-,-,-,-,-,-,39,23,6,6,0,39,4,11,11,36,22,0,39,0,0
[11] http://www.w3.org/2002/07/owl#sameAs,18338,-,-,-,-,-,-,-,-,-,-,-,-,12691,5302,5535,1470,18338,4553,5567,10637,18335,15436,0,18338,0,0
[12] http://www.w3.org/2004/02/skos/core#broader,14891,-,-,-,-,-,-,-,-,-,-,-,-,-,3764,3935,1004,12852,3090,3759,6917,12852,10889,0,12852,0,0
[13] http://www.w3.org/2004/02/skos/core#closeMatch,5992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1626,656,5337,1655,1557,3107,5337,5337,0,5337,0,0
[14] http://www.w3.org/2004/02/skos/core#exactMatch,6298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,6113,2323,2001,4047,5924,5190,0,6113,0,0
[15] http://www.w3.org/2004/02/skos/core#historyNote,1546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1546,284,373,638,1526,1490,0,1546,0,1
[16] http://www.w3.org/2004/02/skos/core#inScheme,19390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4618,6134,10643,19020,16043,0,19390,0,3
[17] http://www.w3.org/2004/02/skos/core#narrower,14900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1720,3291,4618,4108,0,4618,0,0
[18] http://www.w3.org/2004/02/skos/core#note,8153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3342,5770,4822,0,6134,0,0
[19] http://www.w3.org/2004/02/skos/core#related,21052,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10643,9039,0,10643,0,0
[20] http://www.w3.org/2004/02/skos/core#relatedMatch,52600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16040,0,19020,0,0
[21] http://www.w3.org/2008/05/skos-xl#altLabel,32861,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,16043,0,3
[22] http://www.w3.org/2008/05/skos-xl#literalForm,52251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[23] http://www.w3.org/2008/05/skos-xl#prefLabel,19390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3
[24] http://xmlns.com/foaf/0.1/name,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/primaryTopic,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
