Number of unique subjects: 3776,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17]
[0] http://data.lirmm.fr/ontologies/passim#SMSInformation,12,-,11,3,8,12,12,12,12,5,3,12,11,6,12,12,11,12,12
[1] http://data.lirmm.fr/ontologies/passim#centerTown,898,-,-,158,383,750,707,750,749,82,31,750,746,254,750,750,622,749,750
[2] http://data.lirmm.fr/ontologies/passim#cityThrough,2554,-,-,-,60,158,157,158,158,31,14,158,157,58,158,158,155,158,158
[3] http://data.lirmm.fr/ontologies/passim#comment,403,-,-,-,-,403,382,403,403,44,10,403,386,155,403,403,320,403,403
[4] http://data.lirmm.fr/ontologies/passim#department,869,-,-,-,-,-,726,788,787,83,32,788,756,277,788,788,647,787,788
[5] http://data.lirmm.fr/ontologies/passim#infoPoint,728,-,-,-,-,-,-,726,726,81,25,726,711,244,726,726,607,726,726
[6] http://data.lirmm.fr/ontologies/passim#isAccessibilityForDisabledPerson,788,-,-,-,-,-,-,-,787,83,32,788,756,277,788,788,647,787,788
[7] http://data.lirmm.fr/ontologies/passim#isWebSiteAccessibilityForDisabledPerson,787,-,-,-,-,-,-,-,-,82,32,787,755,277,787,787,646,787,787
[8] http://data.lirmm.fr/ontologies/passim#landInformation,83,-,-,-,-,-,-,-,-,-,4,83,82,43,83,83,78,82,83
[9] http://data.lirmm.fr/ontologies/passim#mobileApplication,32,-,-,-,-,-,-,-,-,-,-,32,30,10,32,32,26,32,32
[10] http://data.lirmm.fr/ontologies/passim#modeOfTransport,929,-,-,-,-,-,-,-,-,-,-,-,756,277,788,788,647,787,788
[11] http://data.lirmm.fr/ontologies/passim#region,766,-,-,-,-,-,-,-,-,-,-,-,-,260,756,756,628,755,756
[12] http://data.lirmm.fr/ontologies/passim#remark,277,-,-,-,-,-,-,-,-,-,-,-,-,-,277,277,255,277,277
[13] http://data.lirmm.fr/ontologies/passim#serviceCoverage,789,-,-,-,-,-,-,-,-,-,-,-,-,-,-,788,647,787,788
[14] http://data.lirmm.fr/ontologies/passim#serviceName,789,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,647,787,788
[15] http://data.lirmm.fr/ontologies/passim#typeOfService,2152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,646,647
[16] http://data.lirmm.fr/ontologies/passim#webSite,790,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,787
[17] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3785,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
