Number of unique subjects: 2187,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15]
[0] http://patents.data.gov.uk/def/patents/address,1304,-,0,0,0,0,0,0,0,0,388,0,1304,1300,0,0,0
[1] http://patents.data.gov.uk/def/patents/agent,541,-,-,492,492,492,492,491,492,491,0,0,491,492,0,0,492
[2] http://patents.data.gov.uk/def/patents/applicant,510,-,-,-,492,492,492,491,492,491,0,0,491,492,0,0,492
[3] http://patents.data.gov.uk/def/patents/filingDate,492,-,-,-,-,492,492,491,492,491,0,0,491,492,0,0,492
[4] http://patents.data.gov.uk/def/patents/footNote,593,-,-,-,-,-,492,491,492,491,0,0,491,492,0,0,492
[5] http://patents.data.gov.uk/def/patents/inventor,492,-,-,-,-,-,-,491,492,491,0,0,491,492,0,0,492
[6] http://patents.data.gov.uk/def/patents/lodgedDate,491,-,-,-,-,-,-,-,491,490,0,0,490,491,0,0,491
[7] http://patents.data.gov.uk/def/patents/patentID,492,-,-,-,-,-,-,-,-,491,0,0,491,492,0,0,492
[8] http://purl.org/dc/terms/subject,491,-,-,-,-,-,-,-,-,-,0,0,490,491,0,0,491
[9] http://research.data.gov.uk/def/project/location,389,-,-,-,-,-,-,-,-,-,-,0,389,388,0,0,0
[10] http://research.data.gov.uk/def/project/postcode,375,-,-,-,-,-,-,-,-,-,-,-,375,0,375,375,0
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2186,-,-,-,-,-,-,-,-,-,-,-,-,1792,390,390,491
[12] http://www.w3.org/2000/01/rdf-schema#label,1999,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,492
[13] http://www.w3.org/2003/01/geo/wgs84_pos#lat,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,390,0
[14] http://www.w3.org/2003/01/geo/wgs84_pos#long,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[15] http://xmlns.com/foaf/0.1/page,492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
