Number of unique subjects: 4016,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17]
[0] http://purl.org/dc/elements/1.1/contributor,1,-,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
[1] http://purl.org/dc/elements/1.1/creator,1,-,-,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
[2] http://purl.org/dc/elements/1.1/rights,1,-,-,-,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
[3] http://purl.org/dc/elements/1.1/subject,1,-,-,-,-,1,1,1,1,0,1,1,0,1,1,0,0,0,0
[4] http://purl.org/dc/elements/1.1/title,1,-,-,-,-,-,1,1,1,0,1,1,0,1,1,0,0,0,0
[5] http://purl.org/dc/terms/license,1,-,-,-,-,-,-,1,1,0,1,1,0,1,1,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,4016,-,-,-,-,-,-,-,1,1000,1001,1001,1000,1,1,1000,1000,1000,3002
[7] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,-,0,1,1,0,1,1,0,0,0,0
[8] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,1000,-,-,-,-,-,-,-,-,-,1000,1000,1000,0,0,1000,1000,1000,0
[9] http://www.w3.org/2000/01/rdf-schema#label,1001,-,-,-,-,-,-,-,-,-,-,1001,1000,1,1,1000,1000,1000,0
[10] http://www.w3.org/2000/01/rdf-schema#seeAlso,2001,-,-,-,-,-,-,-,-,-,-,-,1000,1,1,1000,1000,1000,0
[11] http://www.w3.org/2000/01/rdf-schema#subClassOf,2000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1000,1000,1000,0
[12] http://www.w3.org/2002/07/owl#imports,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0
[13] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[14] http://www.w3.org/2007/05/powder-s#describedby,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000,1000,0
[15] http://xmlns.com/foaf/0.1/homepage,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000,0
[16] http://xmlns.com/foaf/0.1/page,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[17] http://xmlns.com/foaf/0.1/primaryTopic,3002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
