Number of unique subjects: 119,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23]
[0] http://purl.org/dc/terms/title,1,-,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://rdfs.org/ns/void#exampleResource,5,-,-,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://rdfs.org/ns/void#vocabulary,10,-,-,-,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,8,-,-,-,-,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,8,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,158,-,-,-,-,-,-,71,45,92,92,45,8,44,7,36,9,14,31,14,4,5,3,10,18
[6] http://www.w3.org/2000/01/rdf-schema#comment,72,-,-,-,-,-,-,-,42,71,71,41,5,27,1,35,8,0,31,0,0,2,3,8,14
[7] http://www.w3.org/2000/01/rdf-schema#domain,46,-,-,-,-,-,-,-,-,45,45,44,0,0,0,36,0,0,31,0,0,0,1,0,2
[8] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,92,-,-,-,-,-,-,-,-,-,91,45,7,44,7,36,9,0,31,0,0,5,3,10,18
[9] http://www.w3.org/2000/01/rdf-schema#label,92,-,-,-,-,-,-,-,-,-,-,45,8,43,7,36,9,0,31,0,0,4,3,10,17
[10] http://www.w3.org/2000/01/rdf-schema#range,46,-,-,-,-,-,-,-,-,-,-,-,0,0,0,36,0,0,31,0,0,0,0,0,2
[11] http://www.w3.org/2000/01/rdf-schema#seeAlso,9,-,-,-,-,-,-,-,-,-,-,-,-,7,1,0,3,0,0,0,0,1,1,4,3
[12] http://www.w3.org/2000/01/rdf-schema#subClassOf,46,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,9,0,0,0,0,5,2,10,16
[13] http://www.w3.org/2000/01/rdf-schema#subClasssOf,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
[14] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,31,0,0,0,0,0,2
[15] http://www.w3.org/2002/07/owl#disjointWith,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,9,9
[16] http://www.w3.org/2002/07/owl#hasValue,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,14,0,0,0,0,0
[17] http://www.w3.org/2002/07/owl#inverseOf,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2
[18] http://www.w3.org/2002/07/owl#onProperty,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[19] http://www.w3.org/2002/07/owl#unionOf,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[20] http://www.w3.org/2004/02/skos/core#altLabel,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,5
[21] http://www.w3.org/2004/02/skos/core#editorialNote,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[22] http://www.w3.org/2004/02/skos/core#note,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
[23] http://www.w3.org/2004/02/skos/core#prefLabel,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
