Number of unique subjects: 127,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,26,-,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,26,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,117,-,-,-,79,35,81,35,43,12,2,1,9,28,3,11,1
[3] http://www.w3.org/2000/01/rdf-schema#comment,79,-,-,-,-,28,77,28,42,10,0,0,9,22,0,0,1
[4] http://www.w3.org/2000/01/rdf-schema#domain,35,-,-,-,-,-,31,34,0,10,0,0,0,26,0,0,0
[5] http://www.w3.org/2000/01/rdf-schema#label,81,-,-,-,-,-,-,31,42,10,0,0,9,24,0,0,0
[6] http://www.w3.org/2000/01/rdf-schema#range,35,-,-,-,-,-,-,-,0,9,0,0,0,25,0,0,0
[7] http://www.w3.org/2000/01/rdf-schema#subClassOf,51,-,-,-,-,-,-,-,-,0,0,0,9,0,0,0,0
[8] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,12,-,-,-,-,-,-,-,-,-,0,0,0,12,0,0,0
[9] http://www.w3.org/2002/07/owl#allValuesFrom,2,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,0
[10] http://www.w3.org/2002/07/owl#cardinality,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0
[11] http://www.w3.org/2002/07/owl#disjointWith,10,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[12] http://www.w3.org/2002/07/owl#inverseOf,28,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[13] http://www.w3.org/2002/07/owl#onProperty,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[14] http://www.w3.org/2002/07/owl#unionOf,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[15] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
