Number of unique subjects: 360,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24]
[0] http://id.southampton.ac.uk/ns/processIncludedFile,5,-,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1
[1] http://purl.org/dc/terms/conformsTo,2,-,-,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
[2] http://purl.org/dc/terms/description,2,-,-,-,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
[3] http://purl.org/dc/terms/isPartOf,2,-,-,-,-,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
[4] http://purl.org/dc/terms/title,2,-,-,-,-,-,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
[5] http://purl.org/void/provenance/ns/processType,2,-,-,-,-,-,-,2,2,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,2,2
[6] http://purl.org/void/provenance/ns/resultingDataset,2,-,-,-,-,-,-,-,2,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,2,2
[7] http://purl.org/void/provenance/ns/sourceDataset,2,-,-,-,-,-,-,-,-,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,2,2
[8] http://rdfs.org/ns/void#sparqlEndpoint,2,-,-,-,-,-,-,-,-,-,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
[9] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[10] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,362,-,-,-,-,-,-,-,-,-,-,-,0,348,327,348,171,177,348,2,2,2,2,2,2,2
[11] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[12] http://www.w3.org/2000/01/rdf-schema#label,348,-,-,-,-,-,-,-,-,-,-,-,-,-,327,348,171,177,348,0,0,0,0,0,0,0
[13] http://www.w3.org/2004/02/skos/core#broader,789,-,-,-,-,-,-,-,-,-,-,-,-,-,-,327,150,177,327,0,0,0,0,0,0,0
[14] http://www.w3.org/2004/02/skos/core#inScheme,348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,177,348,0,0,0,0,0,0,0
[15] http://www.w3.org/2004/02/skos/core#narrower,789,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,171,0,0,0,0,0,0,0
[16] http://www.w3.org/2004/02/skos/core#notation,177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177,0,0,0,0,0,0,0
[17] http://www.w3.org/2004/02/skos/core#prefLabel,369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[18] http://www.w3.org/2006/time#hasBeginning,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,0,2,2
[19] http://www.w3.org/2006/time#hasEnd,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,2,2
[20] http://www.w3.org/ns/prov#endedAtTime,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,2,2
[21] http://www.w3.org/ns/prov#generated,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2
[22] http://www.w3.org/ns/prov#hadPrimarySource,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[23] http://www.w3.org/ns/prov#startedAtTime,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
[24] http://www.w3.org/ns/prov#used,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
