Number of unique subjects: 23915,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71]
[0] http://id.southampton.ac.uk/ns/processIncludedFile,10,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1
[1] http://id.southampton.ac.uk/stats-ns/ach-first-class,197,-,-,197,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,197,197,0,0,197,197,0,197,197,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0
[2] http://id.southampton.ac.uk/stats-ns/ach-upper-second-class,197,-,-,-,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,197,197,0,0,197,197,0,197,197,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0
[3] http://id.southampton.ac.uk/stats-ns/ageBracketOnEntry,6912,-,-,-,-,0,0,0,0,0,6912,0,0,0,0,0,0,6912,0,0,0,6912,0,0,0,6912,0,0,0,0,0,0,0,0,6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912,0,0,0,0,0,0,0,0,0,0,0,0,6912,0,0,0,0,0,0,0,0,0
[4] http://id.southampton.ac.uk/stats-ns/answered-1,4522,-,-,-,-,-,4522,4522,4522,4522,4522,0,0,0,0,0,0,0,0,0,0,4522,0,0,0,4522,0,4522,0,0,0,4522,0,4522,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,4522,0,0,0,0,0,0,0,0
[5] http://id.southampton.ac.uk/stats-ns/answered-2,4522,-,-,-,-,-,-,4522,4522,4522,4522,0,0,0,0,0,0,0,0,0,0,4522,0,0,0,4522,0,4522,0,0,0,4522,0,4522,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,4522,0,0,0,0,0,0,0,0
[6] http://id.southampton.ac.uk/stats-ns/answered-3,4522,-,-,-,-,-,-,-,4522,4522,4522,0,0,0,0,0,0,0,0,0,0,4522,0,0,0,4522,0,4522,0,0,0,4522,0,4522,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,4522,0,0,0,0,0,0,0,0
[7] http://id.southampton.ac.uk/stats-ns/answered-4,4522,-,-,-,-,-,-,-,-,4522,4522,0,0,0,0,0,0,0,0,0,0,4522,0,0,0,4522,0,4522,0,0,0,4522,0,4522,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,4522,0,0,0,0,0,0,0,0
[8] http://id.southampton.ac.uk/stats-ns/answered-5,4522,-,-,-,-,-,-,-,-,-,4522,0,0,0,0,0,0,0,0,0,0,4522,0,0,0,4522,0,4522,0,0,0,4522,0,4522,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,4522,0,0,0,0,0,0,0,0
[9] http://id.southampton.ac.uk/stats-ns/category,23676,-,-,-,-,-,-,-,-,-,-,445,5490,445,633,445,445,8640,633,2230,445,23192,197,633,633,22950,197,4522,197,197,633,4522,754,4522,23676,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,17570,633,0,0,0,0,0,0,0,0,0,0,0,23676,4522,0,0,0,0,0,0,0,0
