Number of unique subjects: 44,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://creativecommons.org/ns#license,2,-,2,2,1,2,2,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,1,1,1,1,1
[1] http://purl.org/dc/terms/created,2,-,-,2,1,2,2,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,1,1,1,1,1
[2] http://purl.org/dc/terms/creator,2,-,-,-,1,2,2,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,1,1,1,1,1
[3] http://purl.org/dc/terms/description,1,-,-,-,-,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0
[4] http://purl.org/dc/terms/modified,2,-,-,-,-,-,2,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,1,1,1,1,1
[5] http://purl.org/dc/terms/publisher,2,-,-,-,-,-,-,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,1,1,1,1,1
[6] http://purl.org/dc/terms/subject,2,-,-,-,-,-,-,-,2,1,1,1,0,1,1,0,1,1,1,1,2,0,2,2,1,0,0
[7] http://purl.org/dc/terms/title,22,-,-,-,-,-,-,-,-,1,1,1,0,5,1,0,1,1,1,1,22,1,21,21,1,1,1
[8] http://rdfs.org/ns/void#dataDump,403,-,-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0
[9] http://rdfs.org/ns/void#exampleResource,3,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0
[10] http://rdfs.org/ns/void#feature,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0
[11] http://rdfs.org/ns/void#linkPredicate,45,-,-,-,-,-,-,-,-,-,-,-,-,0,0,19,0,0,0,0,19,0,18,0,0,0,0
[12] http://rdfs.org/ns/void#sparqlEndpoint,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,1,5,0,5,5,1,0,0
[13] http://rdfs.org/ns/void#subset,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,0,1,1,1,0,0
[14] http://rdfs.org/ns/void#target,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,20,0,19,0,0,0,0
[15] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,1,1,1,0,0
[16] http://rdfs.org/ns/void#uriRegexPattern,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,1,0,0
[17] http://rdfs.org/ns/void#uriSpace,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,1,0,0
[18] http://rdfs.org/ns/void#vocabulary,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,0,0
[19] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,40,21,1,1,1
[20] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0
[21] http://www.w3.org/2007/05/powder-s#describedby,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,1,0,0
[22] http://xmlns.com/foaf/0.1/homepage,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0
[23] http://xmlns.com/foaf/0.1/page,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[24] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[25] http://xmlns.com/foaf/0.1/topic,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
