Number of unique subjects: 375,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://purl.org/dc/terms/creator,1,-,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
[1] http://purl.org/dc/terms/description,4,-,-,1,1,1,1,1,0,0,4,1,0,3,4,0,1,0,0,0,0,0,0,1,3,0,0
[2] http://purl.org/dc/terms/modified,1,-,-,-,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
[3] http://purl.org/dc/terms/publisher,1,-,-,-,-,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
[4] http://purl.org/dc/terms/title,1,-,-,-,-,-,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
[5] http://purl.org/vocab/vann/preferredNamespacePrefix,1,-,-,-,-,-,-,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
[6] http://purl.org/vocab/vann/preferredNamespaceUri,1,-,-,-,-,-,-,-,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,5,-,-,-,-,-,-,-,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,5,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[9] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,451,-,-,-,-,-,-,-,-,-,-,113,51,265,264,63,1,27,61,1,6,6,16,1,252,27,25
[10] http://www.w3.org/2000/01/rdf-schema#comment,114,-,-,-,-,-,-,-,-,-,-,-,40,112,113,42,1,8,26,0,1,4,8,1,108,0,0
[11] http://www.w3.org/2000/01/rdf-schema#domain,51,-,-,-,-,-,-,-,-,-,-,-,-,51,51,25,0,0,11,0,0,0,11,0,48,0,0
[12] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,265,-,-,-,-,-,-,-,-,-,-,-,-,-,263,63,0,27,61,0,6,6,16,0,252,27,25
[13] http://www.w3.org/2000/01/rdf-schema#label,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,1,27,61,0,6,6,16,1,250,27,25
[14] http://www.w3.org/2000/01/rdf-schema#range,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,35,0,0,0,3,0,54,0,0
[15] http://www.w3.org/2000/01/rdf-schema#seeAlso,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,0,0,0
[16] http://www.w3.org/2000/01/rdf-schema#subClassOf,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,0,0,0,25,0,0
[17] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,4,0,59,0,0
[18] http://www.w3.org/2002/07/owl#distinctMembers,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[19] http://www.w3.org/2002/07/owl#equivalentClass,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,6,0,0
[20] http://www.w3.org/2002/07/owl#equivalentProperty,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,6,0,0
[21] http://www.w3.org/2002/07/owl#inverseOf,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,16,0,0
[22] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[23] http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,25
[24] http://www.w3.org/2004/02/skos/core#broader,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
[25] http://www.w3.org/2004/02/skos/core#narrower,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
