Number of unique subjects: 4,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16]
[0] http://purl.org/dc/terms/created,1,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://purl.org/dc/terms/date,1,-,-,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
[2] http://purl.org/dc/terms/modified,1,-,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://www.umweltbundesamt.de/2009/08/UmThesScheme#changeNote,2,-,-,-,-,0,1,0,1,0,1,1,1,1,1,1,1,1
[4] http://www.umweltbundesamt.de/2009/08/UmThesScheme#editor,2,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.umweltbundesamt.de/2009/08/UmThesScheme#exportNote,1,-,-,-,-,-,-,0,1,0,1,1,1,1,1,1,1,1
[6] http://www.umweltbundesamt.de/2009/08/UmThesScheme#source,1,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0,0
[7] http://www.umweltbundesamt.de/2009/08/UmThesScheme#sourceNote,1,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1
[8] http://www.umweltbundesamt.de/2009/08/UmThesScheme#thsisn,1,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[9] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1
[10] http://www.w3.org/2004/02/skos/core#altLabel,7,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1
[11] http://www.w3.org/2004/02/skos/core#closeMatch,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1
[12] http://www.w3.org/2004/02/skos/core#narrower,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
[13] http://www.w3.org/2004/02/skos/core#prefLabel,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
[14] http://www.w3.org/2004/02/skos/core#related,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[15] http://www.w3.org/2008/05/skos-xl#altLabel,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[16] http://www.w3.org/2008/05/skos-xl#prefLabel,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
