Number of unique subjects: 1787,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85]
[0] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AAdministrador,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[1] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AAffected_Resource,59,-,-,13,1,22,0,0,0,0,57,15,0,23,0,0,0,0,10,0,0,0,0,0,32,52,0,0,13,0,0,0,0,0,25,29,23,0,0,0,46,3,0,0,6,0,0,0,0,9,0,0,57,0,27,0,0,0,23,0,23,0,0,0,1,4,0,0,30,0,0,10,57,0,57,57,57,0,0,0,57,57,57,2,0,0,1
[2] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AAlternate_Term,74,-,-,-,4,29,0,0,0,0,50,16,0,30,0,0,0,0,14,0,0,0,0,2,35,49,0,0,9,0,0,0,0,0,15,36,26,0,0,0,46,1,0,0,4,0,0,0,0,11,0,0,50,0,30,0,0,0,26,0,30,0,0,0,6,6,0,0,38,0,0,7,50,0,50,50,50,0,0,0,50,50,50,2,0,0,1
[3] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AArchitectural_Paradigm,143,-,-,-,-,115,109,108,109,109,7,2,109,7,0,0,0,0,4,0,0,0,0,3,115,7,0,108,1,0,31,109,0,107,111,7,7,109,0,106,113,0,16,0,109,0,0,0,0,6,59,0,116,109,84,39,63,0,116,0,7,31,109,0,3,0,0,108,18,0,0,0,116,0,116,116,116,0,0,0,116,116,116,4,0,0,7
[4] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AAttack,1598,-,-,-,-,-,113,113,109,382,209,36,109,87,79,0,0,0,42,2,2,0,0,9,451,199,222,108,16,2,33,109,0,111,137,161,74,117,0,110,302,12,17,4,116,0,13,0,0,21,60,1,830,110,532,41,64,4,194,0,87,32,317,54,8,7,2,396,135,0,0,10,761,0,836,836,836,0,0,0,836,836,836,10,0,0,20
[5] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AAttack_Motivation_-2D_Consequence,299,-,-,-,-,-,-,112,109,113,0,0,109,0,0,0,0,0,0,0,0,0,0,0,111,0,0,108,0,0,33,109,0,111,109,0,0,112,0,110,110,0,17,0,109,0,0,0,0,0,60,0,113,110,77,41,64,0,113,0,0,32,113,0,0,0,0,112,13,0,0,0,113,0,113,113,113,0,0,0,113,113,113,5,0,0,7
[6] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AAttacker_Skill_or_Knowledge_Required,139,-,-,-,-,-,-,-,108,113,0,0,108,0,0,0,0,0,0,0,0,0,0,0,110,0,0,107,0,0,33,108,0,111,108,0,0,111,0,109,109,0,17,0,108,0,0,0,0,0,59,0,113,109,76,40,63,0,112,0,0,31,113,0,0,0,0,112,12,0,0,0,113,0,113,113,113,0,0,0,113,113,113,5,0,0,7
[7] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AAvailability_Impact,109,-,-,-,-,-,-,-,-,109,0,0,109,0,0,0,0,0,0,0,0,0,0,0,108,0,0,108,0,0,31,109,0,107,109,0,0,109,0,106,106,0,16,0,109,0,0,0,0,0,59,0,109,109,77,39,63,0,109,0,0,31,109,0,0,0,0,108,12,0,0,0,109,0,109,109,109,0,0,0,109,109,109,4,0,0,7
[8] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ACAPEC_Identificator,405,-,-,-,-,-,-,-,-,-,0,0,109,0,0,0,0,0,0,0,0,0,0,0,115,0,0,108,0,0,33,109,0,111,109,0,0,112,0,110,131,0,17,0,109,0,0,0,0,0,60,0,405,110,231,41,64,0,113,0,0,32,315,55,0,0,0,190,23,0,0,0,336,0,405,405,405,0,0,0,405,405,405,9,0,0,8
[9] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ACWE_Identificator,764,-,-,-,-,-,-,-,-,-,-,77,0,217,0,0,0,0,54,0,0,0,0,21,329,649,0,0,31,0,0,0,0,0,152,425,187,0,0,0,548,24,0,0,22,0,0,0,0,40,0,0,763,0,152,0,0,0,185,0,215,0,0,0,12,17,0,0,296,0,0,31,763,0,764,764,764,0,0,0,764,764,764,5,0,0,5
[10] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ACausal_Nature,77,-,-,-,-,-,-,-,-,-,-,-,0,33,0,0,0,0,9,0,0,0,0,2,49,77,0,0,5,0,0,0,0,0,33,49,40,0,0,0,69,3,0,0,5,0,0,0,0,9,0,0,77,0,31,0,0,0,40,0,33,0,0,0,2,3,0,0,35,0,0,8,77,0,77,77,77,0,0,0,77,77,77,1,0,0,2
[11] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AConfidentiality_Impact,109,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,108,0,0,108,0,0,31,109,0,107,109,0,0,109,0,106,106,0,16,0,109,0,0,0,0,0,59,0,109,109,77,39,63,0,109,0,0,31,109,0,0,0,0,108,12,0,0,0,109,0,109,109,109,0,0,0,109,109,109,4,0,0,7
[12] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AConsequence_Scope,444,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,0,42,0,0,0,0,19,170,211,4,0,16,0,0,0,0,0,76,123,156,8,0,0,201,11,0,8,4,0,1,0,0,28,0,0,217,0,87,0,0,8,162,0,223,0,8,0,10,13,0,4,92,0,0,23,221,0,225,225,225,0,0,0,225,225,225,2,0,0,4
[13] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AControl,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2,2,0,0,0,75,0,68,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,10,0,0,0,0,0,80,0,78,0,0,0,3,0,0,0,1,0,0,0,0,64,0,0,0,0,74,0,81,81,81,0,0,0,81,81,81,0,0,0,4
[14] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ACreateBot,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[15] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ADc-3Adescription,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,0
[16] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ADelete_page_script,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[17] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ADetection_Method,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,3,46,52,0,0,9,0,0,0,0,0,16,41,42,0,0,0,49,9,0,0,2,0,0,0,0,13,0,0,54,0,41,0,0,0,42,0,42,0,0,0,6,6,0,0,42,0,0,7,54,0,54,54,54,0,0,0,54,54,54,2,0,0,0
[18] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ADifficulty_to_Implement,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,2,2,2,0,0,0,0
