Number of unique subjects: 97,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,6,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,132,-,-,-,43,37,37,14,11,11,6,2,22,30,13,3
[3] http://www.w3.org/2000/01/rdf-schema#comment,44,-,-,-,-,27,27,14,5,0,0,2,15,0,0,0
[4] http://www.w3.org/2000/01/rdf-schema#domain,37,-,-,-,-,-,37,0,11,0,0,0,21,0,0,0
[5] http://www.w3.org/2000/01/rdf-schema#range,37,-,-,-,-,-,-,0,11,0,0,0,21,0,0,0
[6] http://www.w3.org/2000/01/rdf-schema#subClassOf,42,-,-,-,-,-,-,-,0,0,0,2,0,0,0,0
[7] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,11,-,-,-,-,-,-,-,-,0,0,0,6,0,0,0
[8] http://www.w3.org/2002/07/owl#allValuesFrom,11,-,-,-,-,-,-,-,-,-,0,0,0,11,0,0
[9] http://www.w3.org/2002/07/owl#cardinality,6,-,-,-,-,-,-,-,-,-,-,0,0,6,0,0
[10] http://www.w3.org/2002/07/owl#disjointWith,3,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[11] http://www.w3.org/2002/07/owl#inverseOf,22,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[12] http://www.w3.org/2002/07/owl#onProperty,30,-,-,-,-,-,-,-,-,-,-,-,-,-,13,0
[13] http://www.w3.org/2002/07/owl#someValuesFrom,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[14] http://www.w3.org/2002/07/owl#unionOf,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
