Number of unique subjects: 464880,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,6,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,464915,-,-,-,43,37,318571,37,14,11,11,6,2,22,30,13,3,4575,3209,3914,324,216,1226,5961,981,115424,16148,391,325,115424,92634,146212,12118,7512,124,778,326,2656,547,115424,203147,203147
[3] http://www.w3.org/2000/01/rdf-schema#comment,44,-,-,-,-,27,0,27,14,5,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://www.w3.org/2000/01/rdf-schema#domain,37,-,-,-,-,-,0,37,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/2000/01/rdf-schema#label,318571,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,4575,3209,3914,324,216,1226,5961,981,115424,16148,391,325,115424,92634,0,12118,7512,124,778,326,2656,547,115424,203147,203147
[6] http://www.w3.org/2000/01/rdf-schema#range,37,-,-,-,-,-,-,-,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[7] http://www.w3.org/2000/01/rdf-schema#subClassOf,42,-,-,-,-,-,-,-,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,11,-,-,-,-,-,-,-,-,-,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[9] http://www.w3.org/2002/07/owl#allValuesFrom,11,-,-,-,-,-,-,-,-,-,-,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[10] http://www.w3.org/2002/07/owl#cardinality,6,-,-,-,-,-,-,-,-,-,-,-,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[11] http://www.w3.org/2002/07/owl#disjointWith,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[12] http://www.w3.org/2002/07/owl#inverseOf,22,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/2002/07/owl#onProperty,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[14] http://www.w3.org/2002/07/owl#someValuesFrom,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[15] http://www.w3.org/2002/07/owl#unionOf,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
