Number of unique subjects: 269220,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85],[86],[87],[88],[89],[90],[91],[92],[93],[94],[95],[96],[97],[98],[99],[100],[101],[102],[103],[104],[105],[106],[107],[108],[109],[110],[111],[112],[113],[114],[115],[116],[117],[118],[119],[120],[121],[122],[123],[124],[125],[126],[127],[128],[129],[130],[131],[132],[133],[134],[135],[136],[137],[138],[139],[140]
[0] http://purl.org/dc/terms/source,269220,-,269220,452,212285,25707,600,187,187,15694,52584,78,3052,78,215193,214338,215193,25707,215193,12,416,215043,12,12,1930,7359,17519,36,224551,96780,6,244882,6,215193,9370,17519,15792,1293,215193,118413,96780,213598,215193,6,215193,15694,204444,10400,7359,10160,17519,35065,12,14,14,14,14,14,59,14,59,14,59,59,59,59,59,59,9357,9358,9358,9358,12,12,114181,124,78,78,94,30,84,118413,135549,204459,215193,215193,118413,118413,6,357,170,12,74,357,6,48,215193,10160,10160,186,356,36,16134,12,9358,9358,210247,1930,1930,1930,7643,9358,215193,78,215193,118413,96780,25707,96780,187,215193,108,26857,5725,170,187,7359,7359,7359,8083,215193,6,6,6,6,7643,432,432,530,530,530,269220
[1] http://purl.org/linked-data/cube#dataSet,269220,-,-,452,212285,25707,600,187,187,15694,52584,78,3052,78,215193,214338,215193,25707,215193,12,416,215043,12,12,1930,7359,17519,36,224551,96780,6,244882,6,215193,9370,17519,15792,1293,215193,118413,96780,213598,215193,6,215193,15694,204444,10400,7359,10160,17519,35065,12,14,14,14,14,14,59,14,59,14,59,59,59,59,59,59,9357,9358,9358,9358,12,12,114181,124,78,78,94,30,84,118413,135549,204459,215193,215193,118413,118413,6,357,170,12,74,357,6,48,215193,10160,10160,186,356,36,16134,12,9358,9358,210247,1930,1930,1930,7643,9358,215193,78,215193,118413,96780,25707,96780,187,215193,108,26857,5725,170,187,7359,7359,7359,8083,215193,6,6,6,6,7643,432,432,530,530,530,269220
[2] http://worldbank.270a.info/property/admin-budget-type,452,-,-,-,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,14,14,14,14,14,59,14,59,14,59,59,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,354,452,452,452,452
[3] http://worldbank.270a.info/property/agreement-signing-date,212285,-,-,-,-,0,0,0,0,0,0,0,0,0,212285,211430,212285,0,212285,0,0,212165,0,0,0,0,0,0,212285,95380,0,197679,0,212285,0,0,0,0,212285,116905,95380,212284,212285,0,212285,0,201956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112793,0,0,0,0,0,0,116905,135549,201956,212285,212285,116905,116905,0,0,0,0,0,0,0,0,212285,0,0,0,0,0,0,0,0,0,207339,0,0,0,0,0,212285,0,212285,116905,95380,0,95380,0,212285,0,0,0,0,0,0,0,0,0,212285,0,0,0,0,0,0,0,0,0,0,212285
[4] http://worldbank.270a.info/property/amount-in-usd,25707,-,-,-,-,-,0,0,0,15694,25707,0,3052,0,0,0,0,25707,0,0,0,0,0,0,1930,0,0,0,0,0,0,16134,0,0,0,0,0,1293,0,0,0,0,0,0,0,15694,0,0,0,0,0,25707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16134,0,0,0,0,1930,1930,1930,7643,0,0,0,0,0,0,25707,0,0,0,0,0,5725,0,0,0,0,0,8083,0,0,0,0,0,7643,0,0,0,0,0,25707
[5] http://worldbank.270a.info/property/amount-us-millions,600,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,36,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,14,14,14,14,14,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,122,75,78,93,26,72,0,0,0,0,0,0,0,0,0,0,0,56,0,0,36,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,600
[6] http://worldbank.270a.info/property/amounts-paid-in,187,-,-,-,-,-,-,-,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,187,0,0,0,0,0,186,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
[7] http://worldbank.270a.info/property/amounts-subject-to-call,187,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,187,0,0,0,0,0,186,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
[8] http://worldbank.270a.info/property/approval-quarter,15694,-,-,-,-,-,-,-,-,-,15694,0,3052,0,0,0,0,15694,0,0,0,0,0,0,0,0,0,0,0,0,0,8051,0,0,0,0,0,0,0,0,0,0,0,0,0,15694,0,0,0,0,0,15694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8051,0,0,0,0,0,0,0,7643,0,0,0,0,0,0,15694,0,0,0,0,0,5117,0,0,0,0,0,0,0,0,0,0,0,7643,0,0,0,0,0,15694
[9] http://worldbank.270a.info/property/as-of-date,52584,-,-,-,-,-,-,-,-,-,-,0,3052,0,0,0,0,25707,0,0,0,0,0,0,1930,7359,17519,0,9358,0,0,43011,0,0,9358,17519,15792,1293,0,0,0,0,0,0,0,15694,0,9358,7359,10160,17519,35065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9357,9358,9358,9358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10160,10160,0,0,0,16134,0,9358,9358,0,1930,1930,1930,7643,9358,0,0,0,0,0,25707,0,0,0,0,26857,5725,0,0,7359,7359,7359,8083,0,0,0,0,0,7643,0,0,0,0,0,52584
