"expr","format","star"
"web_services","API",""
"|api/xml||json|","API",""
"api/query","API",""
"solr","API",""
"rest service","API",""
"rest_api","API",""
"api","API",""
"api/search","API",""
"tar.gz","Archive",""
"tar.bz2","Archive",""
"rar:shp","Archive",""
"zip:bib","Archive",""
"zip archive","Archive",""
"gzip","Archive",""
"bz_","Archive",""
"x-zip-compressed","Archive",""
"zip","Archive",""
".tar.gz","Archive",""
"bzip2:text/sql","Archive",""
"application/x-zip-compressed","Archive",""
"zip:8c","Archive",""
"application/x-tgz","Archive",""
"rar","Archive",""
"application/x-bzip","Archive",""
"application/x-gzip","Archive",""
"tar","Archive",""
"tgz","Archive",""
"application/gzip","Archive",""
"gz","Archive",""
"iso","Archive",""
"beacon","Beacon",""
"application/octet-stream","Binary",""
"binary","Binary",""
"jar","Binary",""
"csv (zipado)","CSV","3"
"csv xml","CSV","3"
"tab-separated-values","CSV","3"
"tsv.gz","CSV","3"
"bz2:csv","CSV","3"
"csv (zipped)","CSV","3"
"|tgz||tsv|","CSV","3"
"zip csv shp","CSV","3"
"zip:csv","CSV","3"
"csv","CSV","3"
"comma-separated-values","CSV","3"
"csv (zip)","CSV","3"
"text/x-osmapping-csv","CSV","3"
"text/comma-separated-values","CSV","3"
"text/x-osdata-csv","CSV","3"
"|tsv|","CSV","3"
"fixed width","CSV","3"
"text/tab-separated-values","CSV","3"
"text/x-csv","CSV","3"
"csv stata excel","CSV","3"
"csvjson","CSV","3"
"csvxml","CSV","3"
"tsv","CSV","3"
"mysqlcsv","CSV","3"
"csv:1","CSV","3"
"|bittorrent||zip||tsv|","CSV","3"
"opendocument_text","DOC","1"
"msword","DOC","1"
"google doc","DOC","1"
"epub","DOC","1"
"doc","DOC","1"
"application/vnd.oasis.opendocument.text","DOC","1"
"application/vnd.openxmlformats-officedocument.wordprocessingml.document","DOC","1"
"doc:04","DOC","1"
"rtf","DOC","1"
"wordprocessingml.document","DOC","1"
"application/msword","DOC","1"
"sdf","DOC","1"
"ms acess mdb","Database",""
"access database","Database",""
"dbase","Database",""
"spss","Database",""
"application/dbase+dbc","Database",""
"ms_access","Database",""
"mdb","Database",""
"data file in stata","Database",""
" stata","Database",""
"dbf","Database",""
"dta","Database",""
"sqlite","Database",""
"gzip:sql","Database",""
"sqlite 3","Database",""
"gz:sql","Database",""
"|csv || mdb|","Database",""
"csv/sqlite","Database",""
"data file in access and spss","Database",""
"microsoft access database","Database",""
"text/sql","Database",""
"data file in spss","Database",""
"data file in access","Database",""
"ms access mdb","Database",""
"application/dbase","Database",""
"application/zip+x-sqlite3","Database",""
"sisis export format","Database",""
"data file in spss and stata","Database",""
"example/ntriples","Example",""
"example","Example",""
"example/rdf+xml","Example",""
"example/n3","Example",""
"example/*","Example",""
"example/rdf xml","Example",""
"example/rdf+json","Example",""
"example/application/rdf+xml","Example",""
"example/rdf+n3","Example",""
"example/rdf+ttl","Example",""
"example/turtle","Example",""
"example/x-turtle","Example",""
"example/warc","Example",""
"example/rdfa","Example",""
"gtfs","GTFS",""
"esri shapefiles","Geo","2"
"kml/kmz","Geo","2"
"esri grid","Geo","2"
"gtfs-realtime","Geo","2"
"yml","Geo","2"
"kml/shp","Geo","2"
".gml","Geo","2"
".kml","Geo","2"
"kml","Geo","2"
"google-earth.kml","Geo","2"
"shapefile","Geo","2"
"kmz","Geo","2"
"esri shapefile","Geo","2"
"geojson","Geo","2"
"geopdf","Geo","2"
"wms","Geo","2"
"wfs - gml","Geo","2"
"w__/gml","Geo","2"
"application/x-esri%","Geo","2"
"esri shape file","Geo","2"
"application/vnd.google-earth.kml+xml","Geo","2"
